,До,После,Изменение,Абсолютное изменение,PCA_loading,Направление
Enterocytes_relative_count,245.84,166.0,-79.84,79.84,-0.014719876340045698,ухудшение
Meta_relative_count,50.832,101.70588235294117,50.87388235294117,50.87388235294117,-0.17018860092732685,улучшение
EoE_relative_count,5.792,16.941176470588236,11.149176470588236,11.149176470588236,0.17332524614405892,ухудшение
Neutrophils_relative_count,27.384,24.75,-2.6340000000000003,2.6340000000000003,-0.08103311933309258,ухудшение
Surface epithelium_relative_area,2.9364223994707044,1.491993999845849,-1.4444283996248555,1.4444283996248555,0.03565457386422918,улучшение
Dysplasia_relative_area,1.4194169037100743,0.5577757902834195,-0.8616411134266548,0.8616411134266548,-0.08126093240910558,ухудшение
Moderate_relative_area,1.0542438159738106,0.28338599962557603,-0.7708578163482345,0.7708578163482345,-0.17019567544336212,ухудшение
Muscularis mucosae_relative_area,1.2071969734786832,0.48725119488803,-0.7199457785906531,0.7199457785906531,-0.012601721038958666,ухудшение
Dysplasia_relative_count,0.816,0.4264705882352941,-0.38952941176470585,0.38952941176470585,-0.08488601652618495,ухудшение
Moderate_relative_count,0.376,0.058823529411764705,-0.3171764705882353,0.3171764705882353,-0.1902676415557874,ухудшение
Enterocytes_relative_area,0.9052289864126759,0.6207776066516258,-0.28445137976105006,0.28445137976105006,0.156740701487851,улучшение
Paneth_relative_count,0.064,0.20588235294117646,0.14188235294117646,0.14188235294117646,-0.09411886020612073,улучшение
EoE_relative_area,0.02372706018008349,0.0765918066510887,0.052864746471005204,0.052864746471005204,0.21909551912329553,ухудшение
Moderate_mean_relative_area,0.02243071948880448,0.07084649990639401,0.048415780417589524,0.048415780417589524,-0.14026075740905575,улучшение
Endocrine_relative_count,0.176,0.22058823529411764,0.04458823529411765,0.04458823529411765,0.24398697356655288,ухудшение
Surface epithelium_relative_count,0.168,0.14705882352941177,-0.02094117647058824,0.02094117647058824,-0.09903961568785177,ухудшение
Mild_relative_count,0.56,0.5441176470588235,-0.01588235294117657,0.01588235294117657,-0.031303244655564985,ухудшение
Mild_relative_area,0.7172366970153551,0.7107389436729264,-0.006497753342428636,0.006497753342428636,-0.0550335428615007,ухудшение
Neutrophils_relative_area,0.11879003437178227,0.11402593075125066,-0.004764103620531618,0.004764103620531618,0.0411042555030535,улучшение
Muscularis mucosae_relative_count,0.104,0.10294117647058823,-0.0010588235294117648,0.0010588235294117648,0.19397532667486972,улучшение
Paneth_relative_area,0.00028426676840062387,0.0008926795187825962,0.0006084127503819723,0.0006084127503819723,-0.08247188679093859,улучшение
Endocrine_relative_area,0.0009295073696862625,0.0012175692477917974,0.00028806187810553495,0.00028806187810553495,0.23453440920482593,ухудшение
Meta_mean_relative_area,4.9939827490576485e-05,9.936943918474099e-05,4.94296116941645e-05,4.94296116941645e-05,0.3084219055140441,ухудшение
Endocrine_mean_relative_area,4.2250334985739204e-05,8.117128318611983e-05,3.8920948200380626e-05,3.8920948200380626e-05,0.312278467852138,ухудшение
EoE_mean_relative_area,3.277218256917609e-05,6.64859432735145e-05,3.371376070433841e-05,3.371376070433841e-05,0.31292211060722963,ухудшение
Neutrophils_mean_relative_area,3.470348652403806e-05,6.775159284090948e-05,3.304810631687142e-05,3.304810631687142e-05,0.3101242132274776,ухудшение
Enterocytes_mean_relative_area,2.9457500371385482e-05,5.499447259493496e-05,2.553697222354948e-05,2.553697222354948e-05,0.3095671516449918,ухудшение
Plasma Cells_mean_relative_area,5.163663487564485e-05,7.385336351679308e-05,2.221672864114823e-05,2.221672864114823e-05,0.3092891576563546,ухудшение
